M=0.2,,M=0.4,,M=0.6,,M=0.8,,M=0.9,
alpha,cl,alpha,cl,alpha,cl,alpha,cl,alpha,cl
-15.11216057,-0.588793103,-15.05903188,-0.618965517,-15.00590319,-0.456034483,-15.00590319,-0.649137931,-14.9527745,-1.234482759
-14.20897285,-0.576724138,-13.99645809,-0.600862069,-13.99645809,-0.431896552,-13.99645809,-0.612931034,-13.99645809,-1.180172414
-13.25265643,-0.534482759,-13.09327037,-0.552586207,-12.98701299,-0.401724138,-12.98701299,-0.576724138,-12.98701299,-1.125862069
-12.19008264,-0.486206897,-12.03069658,-0.498275862,-11.97756789,-0.377586207,-11.97756789,-0.534482759,-11.97756789,-1.071551724
-11.18063754,-0.443965517,-10.96812279,-0.443965517,-10.96812279,-0.353448276,-10.96812279,-0.498275862,-10.96812279,-1.011206897
-10.17119244,-0.437931034,-10.01180638,-0.407758621,-9.958677686,-0.323275862,-9.958677686,-0.456034483,-9.958677686,-0.944827586
-9.161747344,-0.443965517,-8.949232586,-0.407758621,-9.002361275,-0.305172414,-9.002361275,-0.419827586,-9.002361275,-0.878448276
-8.099173554,-0.443965517,-7.939787485,-0.389655172,-7.992916175,-0.287068966,-7.992916175,-0.389655172,-7.992916175,-0.806034483
-7.036599764,-0.425862069,-7.036599764,-0.389655172,-6.983471074,-0.275,-6.983471074,-0.359482759,-6.983471074,-0.73362069
-6.080283353,-0.389655172,-5.920897285,-0.38362069,-5.974025974,-0.275,-5.974025974,-0.34137931,-5.974025974,-0.649137931
-5.070838253,-0.287068966,-4.964580874,-0.425862069,-4.964580874,-0.281034483,-4.964580874,-0.329310345,-4.964580874,-0.570689655
-4.061393152,-0.256896552,-3.955135773,-0.347413793,-3.955135773,-0.287068966,-3.955135773,-0.323275862,-4.008264463,-0.498275862
-3.105076741,-0.148275862,-2.998819362,-0.287068966,-2.998819362,-0.305172414,-2.945690673,-0.311206897,-2.998819362,-0.419827586
-2.042502952,0.00862069,-1.989374262,-0.16637931,-2.042502952,-0.281034483,-1.989374262,-0.299137931,-1.989374262,-0.353448276
-1.13931523,0.135344828,-1.033057851,0.117241379,-0.979929162,-0.069827586,-0.979929162,-0.244827586,-0.979929162,-0.275
-0.12987013,0.231896552,0.029515939,0.237931034,0.029515939,0.25,0.029515939,0.020689655,0.029515939,-0.178448276
0.93270366,0.328448276,1.038961039,0.352586207,0.985832349,0.388793103,1.038961039,0.382758621,1.038961039,0.056896552
1.889020071,0.412931034,1.99527745,0.431034483,1.94214876,0.521551724,2.048406139,0.557758621,1.99527745,0.443103448
2.951593861,0.49137931,3.00472255,0.527586207,3.00472255,0.606034483,3.05785124,0.678448276,3.00472255,0.684482759
3.907910272,0.563793103,4.014167651,0.606034483,4.014167651,0.696551724,4.014167651,0.762931034,4.014167651,0.84137931
4.970484061,0.624137931,5.023612751,0.672413793,5.023612751,0.762931034,5.023612751,0.847413793,5.023612751,0.962068966
5.926800472,0.672413793,6.033057851,0.732758621,6.033057851,0.823275862,6.033057851,0.925862069,6.033057851,1.064655172
6.936245573,0.720689655,7.042502952,0.781034483,7.042502952,0.871551724,7.042502952,0.992241379,7.042502952,1.161206897
7.945690673,0.756896552,8.051948052,0.817241379,8.051948052,0.913793103,7.998819362,1.046551724,8.051948052,1.245689655
8.902007084,0.787068966,9.008264463,0.853448276,9.008264463,0.956034483,9.008264463,1.100862069,9.008264463,1.324137931
9.911452184,0.811206897,10.01770956,0.88362069,10.01770956,0.986206897,10.01770956,1.149137931,10.01770956,1.396551724
10.92089728,0.943965517,11.02715466,0.913793103,11.02715466,1.01637931,11.02715466,1.19137931,11.02715466,1.468965517
11.93034238,1.082758621,12.03659976,0.937931034,12.03659976,1.046551724,12.03659976,1.23362069,12.03659976,1.535344828
12.8866588,1.137068966,12.99291617,1.004310345,12.99291617,1.070689655,13.04604486,1.269827586,12.99291617,1.589655172
13.8961039,1.215517241,14.00236128,1.263793103,14.00236128,1.131034483,14.05548996,1.3,14.05548996,1.65
15.01180638,1.330172414,15.01180638,1.378448276,14.95867769,1.287931034,15.01180638,1.330172414,15.01180638,1.704310345
15.86186541,1.396551724,16.02125148,1.450862069,16.02125148,1.131034483,16.02125148,1.354310345,16.02125148,1.746551724
16.9244392,1.426724138,17.08382527,1.390517241,17.03069658,1.155172414,17.03069658,1.378448276,16.97756789,1.794827586
17.9338843,1.390517241,18.04014168,1.312068966,18.04014168,1.173275862,18.04014168,1.396551724,18.04014168,1.837068966
18.9433294,1.245689655,18.99645809,1.070689655,18.99645809,1.185344828,18.99645809,1.414655172,18.99645809,1.873275862
19.9527745,1.004310345,20.00590319,1.088793103,20.00590319,1.203448276,20.00590319,1.432758621,20.00590319,1.903448276